End date,Bronx,Brooklyn,Manhattan,Queens,Staten Island
04/11/2022,2.361393887,2.361393887,7.388401487,4.345600477,5.902578845
04/12/2022,2.451393887,2.451393887,7.578401487,4.465600477,5.872578845
04/13/2022,2.531393887,2.531393887,7.688401487,4.675600477,6.462578845
04/14/2022,2.621393887,2.621393887,7.658401487,4.745600477,6.402578845
04/15/2022,2.811393887,2.811393887,7.898401487,5.115600477,6.632578845
04/16/2022,2.961393887,2.961393887,7.898401487,5.235600477,6.782578845
04/17/2022,2.981393887,2.981393887,7.848401487,5.255600477,6.712578845
04/18/2022,3.211393887,3.211393887,8.118401487,5.815600477,7.272578845
04/19/2022,3.571393887,3.571393887,8.338401487,6.585600477,8.072578845
04/20/2022,4.021393887,4.021393887,8.378401487,7.465600477,8.612578845
04/21/2022,4.651393887,4.651393887,8.418401487,9.015600477,10.23257885
04/22/2022,4.791393887,4.791393887,8.118401487,9.075600477,10.71257885
04/23/2022,4.811393887,4.811393887,8.018401487,9.265600477,10.99257885
04/24/2022,4.921393887,4.921393887,7.958401487,9.615600477,11.71257885
04/25/2022,4.791393887,4.791393887,7.648401487,9.055600477,10.52257885
04/26/2022,4.941393887,4.941393887,7.648401487,8.835600477,10.72257885
